suburb,year,month,avg_price,avg_price_5_2021,percentage_2021_2020
carnegie-vic-3163,2020.0,9.0,393750.0,655571.4285714285,66.49
balaclava-vic-3183,2020.0,9.0,520625.0,757833.3333333334,45.56
footscray-vic-3011,2020.0,9.0,350000.0,491800.0,40.51
park-orchards-vic-3114,2020.0,9.0,442500.0,619727.2727272727,40.05
bentleigh-vic-3204,2020.0,9.0,580000.0,740583.3333333334,27.69
moorabbin-airport-vic-3194,2020.0,9.0,531714.2857142857,672980.0,26.57
notting-hill-vic-3168,2020.0,9.0,543000.0,679731.3333333334,25.18
south-yarra-vic-3141,2020.0,9.0,727500.0,910656.25,25.18
st-kilda-vic-3182,2020.0,9.0,546500.0,683423.0769230769,25.05
burnley-vic-3121,2020.0,9.0,671250.0,790222.2222222222,17.72
port-melbourne-vic-3207,2020.0,9.0,697500.0,817200.0,17.16
docklands-vic-3008,2020.0,9.0,558400.0,647142.8571428572,15.89
bundoora-vic-3083,2020.0,9.0,387000.0,444250.0,14.79
reservoir-vic-3073,2020.0,9.0,527000.0,602502.7333333333,14.33
boronia-vic-3155,2020.0,9.0,550000.0,614333.3333333334,11.7
ripponlea-vic-3185,2020.0,9.0,710000.0,769520.0,8.38
braeside-vic-3195,2020.0,9.0,668500.0,722722.2222222222,8.11
balnarring-vic-3926,2020.0,9.0,410000.0,439360.0,7.16
box-hill-vic-3128,2020.0,9.0,529000.0,545642.8571428572,3.15
moonee-ponds-vic-3039,2020.0,9.0,557500.0,572200.0,2.64
seabrook-vic-3028,2020.0,9.0,440000.0,440333.3333333333,0.08
seaholme-vic-3018,2020.0,9.0,640000.0,605714.2857142857,-5.36
altona-vic-3018,2020.0,9.0,640000.0,605714.2857142857,-5.36
caulfield-east-vic-3145,2020.0,9.0,640000.0,600678.5714285715,-6.14
south-kingsville-vic-3015,2020.0,9.0,570000.0,497666.6666666667,-12.69
clarinda-vic-3169,2020.0,9.0,543000.0,431300.0,-20.57
