in_apartment,sold_apartment,percentage,suburb
8,8,100,brunswick-west-vic-3055
3,3,100,hadfield-vic-3046
3,3,100,seabrook-vic-3028
4,4,100,bundoora-vic-3083
5,5,100,footscray-vic-3011
10,10,100,moonee-ponds-vic-3039
3,3,100,altona-meadows-vic-3028
10,11,90,pascoe-vale-vic-3044
8,9,88,thornbury-vic-3071
6,7,85,brooklyn-vic-3012
11,13,84,park-orchards-vic-3114
15,18,83,seddon-vic-3011
4,5,80,diggers-rest-vic-3427
7,9,77,box-hill-vic-3128
7,9,77,abbotsford-vic-3067
7,9,77,altona-vic-3018
6,8,75,officer-south-vic-3809
3,4,75,doncaster-vic-3108
3,4,75,south-kingsville-vic-3015
3,4,75,oak-park-vic-3046
12,16,75,campbellfield-vic-3061
3,4,75,thomastown-vic-3074
3,4,75,bangholme-vic-3175
3,4,75,gowanbrae-vic-3043
9,12,75,north-melbourne-vic-3051
9,12,75,plenty-vic-3090
6,8,75,viewbank-vic-3084
6,8,75,bayswater-north-vic-3153
6,8,75,rosanna-vic-3084
20,27,74,croydon-hills-vic-3136
33,45,73,aberfeldie-vic-3040
7,10,70,seaholme-vic-3018
10,15,66,warrandyte-south-vic-3134
4,6,66,croydon-south-vic-3136
8,12,66,richmond-vic-3121
16,24,66,flemington-vic-3031
4,6,66,ringwood-east-vic-3135
26,39,66,aspendale-gardens-vic-3195
23,35,65,coburg-north-vic-3058
20,31,64,noble-park-north-vic-3174
7,11,63,eaglemont-vic-3084
5,8,62,canterbury-vic-3126
5,8,62,princes-hill-vic-3054
5,8,62,brunswick-east-vic-3057
20,32,62,moorabbin-airport-vic-3194
16,26,61,murrumbeena-vic-3163
3,5,60,st-albans-vic-3021
3,5,60,oakleigh-east-vic-3166
6,10,60,plumpton-vic-3335
6,10,60,hughesdale-vic-3166
17,28,60,alphington-vic-3078
3,5,60,bentleigh-east-vic-3165
6,10,60,albanvale-vic-3021
3,5,60,beaumaris-vic-3193
14,23,60,moorooduc-vic-3933
3,5,60,ravenhall-vic-3023
13,22,59,reservoir-vic-3073
10,17,58,docklands-vic-3008
7,12,58,beaconsfield-upper-vic-3808
7,12,58,braeside-vic-3195
7,12,58,strathmore-heights-vic-3041
12,21,57,caulfield-east-vic-3145
4,7,57,blind-bight-vic-3980
12,21,57,clifton-hill-vic-3068
69,125,55,parkville-vic-3052
5,9,55,balnarring-vic-3926
10,19,52,black-rock-vic-3193
11,21,52,baxter-vic-3911
5,10,50,heidelberg-west-vic-3081
6,12,50,northcote-vic-3070
3,6,50,somerton-vic-3062
3,6,50,oaklands-junction-vic-3063
3,6,50,essendon-fields-vic-3041
3,6,50,burnside-heights-vic-3023
4,8,50,bentleigh-vic-3204
9,18,50,bellfield-vic-3081
3,6,50,scoresby-vic-3179
25,51,49,south-wharf-vic-3006
12,25,48,ashburton-vic-3147
10,21,47,niddrie-vic-3042
12,26,46,brunswick-vic-3056
6,13,46,pearcedale-vic-3912
5,11,45,warrandyte-vic-3113
5,11,45,clarinda-vic-3169
14,31,45,mont-albert-north-vic-3129
14,31,45,moorabbin-vic-3189
23,52,44,burnley-vic-3121
11,25,44,st-kilda-vic-3182
7,16,43,preston-vic-3072
11,26,42,carlton-north-vic-3054
3,7,42,burwood-east-vic-3151
5,12,41,albion-vic-3020
16,41,39,balaclava-vic-3183
5,13,38,carnegie-vic-3163
3,8,37,dandenong-south-vic-3175
3,8,37,sandringham-vic-3191
36,100,36,albert-park-vic-3206
4,11,36,hampton-east-vic-3188
16,44,36,ripponlea-vic-3185
4,11,36,briar-hill-vic-3088
7,24,29,south-yarra-vic-3141
6,21,28,blackburn-north-vic-3130
3,11,27,narre-warren-east-vic-3804
3,12,25,notting-hill-vic-3168
3,13,23,ormond-vic-3204
3,14,21,the-basin-vic-3154
3,14,21,boronia-vic-3155
3,15,20,port-melbourne-vic-3207
