suburb,former_year_month,former_year_month,latter_year_month,latter_avg_price,month_compared,change_percentage
altona-vic-3018,2020-09,640000.0,2020-10,601714.29,2020-09 with 2020-10,-5.98
altona-vic-3018,2020-10,601714.29,2020-11,581428.57,2020-10 with 2020-11,-3.37
altona-vic-3018,2020-11,581428.57,2020-12,546875.0,2020-11 with 2020-12,-5.94
altona-vic-3018,2020-12,546875.0,2021-01,535000.0,2020-12 with 2021-01,-2.17
altona-vic-3018,2021-01,535000.0,2021-02,650250.0,2021-01 with 2021-02,21.54
altona-vic-3018,2021-02,650250.0,2021-03,610666.67,2021-02 with 2021-03,-6.09
altona-vic-3018,2021-03,610666.67,2021-04,555800.0,2021-03 with 2021-04,-8.98
altona-vic-3018,2021-04,555800.0,2021-05,605714.29,2021-04 with 2021-05,8.98
balaclava-vic-3183,2020-09,520625.0,2020-10,685490.38,2020-09 with 2020-10,31.67
balaclava-vic-3183,2020-10,685490.38,2020-11,651020.8,2020-10 with 2020-11,-5.03
balaclava-vic-3183,2020-11,651020.8,2020-12,617122.75,2020-11 with 2020-12,-5.21
balaclava-vic-3183,2020-12,617122.75,2021-01,636178.57,2020-12 with 2021-01,3.09
balaclava-vic-3183,2021-01,636178.57,2021-02,624319.98,2021-01 with 2021-02,-1.86
balaclava-vic-3183,2021-02,624319.98,2021-03,712044.08,2021-02 with 2021-03,14.05
balaclava-vic-3183,2021-03,712044.08,2021-04,687907.41,2021-03 with 2021-04,-3.39
balaclava-vic-3183,2021-04,687907.41,2021-05,757833.33,2021-04 with 2021-05,10.17
balnarring-vic-3926,2020-09,410000.0,2020-10,407750.0,2020-09 with 2020-10,-0.55
balnarring-vic-3926,2020-10,407750.0,2020-11,358750.0,2020-10 with 2020-11,-12.02
balnarring-vic-3926,2020-11,358750.0,2020-12,353333.33,2020-11 with 2020-12,-1.51
balnarring-vic-3926,2021-02,405750.0,2021-03,314025.0,2021-02 with 2021-03,-22.61
balnarring-vic-3926,2021-03,314025.0,2021-04,340000.0,2021-03 with 2021-04,8.27
balnarring-vic-3926,2021-04,340000.0,2021-05,439360.0,2021-04 with 2021-05,29.22
bentleigh-vic-3204,2020-09,580000.0,2020-10,587666.67,2020-09 with 2020-10,1.32
bentleigh-vic-3204,2020-10,587666.67,2020-11,610000.0,2020-10 with 2020-11,3.8
